pruning_stages	baseline	winning_ticket	fine_tuned_pruned_model
0.000	71.85	76.9794721408	79.2658
1.000	71.85	74.4379276637	66.2267839687
2.000	71.85	74.4379276637	73.8514173998
3.000	71.85	71.2121212121	67.7419354839
4.000	71.85	73.0694037146	73.3137829912
5.000	71.85	73.9002932551	75.3176930596
6.000	71.85	72.091886608	73.8025415445
7.000	71.85	75.9042033236	72.531769306
8.000	71.85	72.238514174	71.1632453568
9.000	71.85	75.2688172043	69.550342131
10.000	71.85	74.5356793744	65.6891495601
11.000	71.85	71.4076246334	62.8543499511
12.000	71.85	74.0469208211	69.6480938416
13.000	71.85	74.4868035191	68.6546014829
14.000	71.85	73.5092864125	66.2787461554
15.000	71.85	73.2160312805	62.1433600362
16.000	71.85	72.7272727273	57.774836087
17.000	71.85	74.1446725318	65.8652564194
18.000	71.85	71.7986314761	63.5944841808
19.000	71.85	72.8739002933	65.6809944448
20.000	71.85	73.7047898338	70.4301075269
21.000	71.85	72.2873900293	65.9824046921
22.000	71.85	68.6705767351	71.6520039101
23.000	71.85	71.0654936461	54.5827539756
24.000	71.85	68.3773216031	55.4740957967
25.000	71.85	70.1857282502	62.7565982405
26.000	71.85	66.8132942326	60.0195503421
27.000	71.85	66.5200391007	62.1212121212
28.000	71.85	65.4447702835	60.6245698925
29.000	71.85	62.8543499511	52.9447702851
30.000	71.85	60.8504398827	54.1104594346
