pruning_stages	baseline	winning_ticket	random_mask	cifar10	cifar100	fahion_mnist
0.000	64.88	64.6322378717	63.4585289515	66.1971830986	66.510172144	68.2316118936
1.000	64.88	67.4491392801	63.6150234742	67.6838810642	65.9624413146	65.6494522692
2.000	64.88	67.1361502347	63.3020344288	67.8403755869	67.4491392801	67.2926447574
3.000	64.88	67.6056338028	63.7715179969	67.9968701095	67.8403755869	67.2143974961
4.000	64.88	68.8575899844	65.4147104851	67.6838810642	65.8841940532	66.5884194053
5.000	64.88	68.544600939	65.7276995305	71.048513302	66.1971830986	67.0579029734
6.000	64.88	69.9530516432	66.2754303599	70.5007824726	66.4319248826	65.7276995305
7.000	64.88	69.1705790297	68.3098591549	69.3270735524	67.8403755869	65.4147104851
8.000	64.88	70.2660406886	67.0579029734	69.7183098592	65.4147104851	66.510172144
9.000	64.88	71.3615023474	67.0579029734	71.7527386541	67.5273865415	65.9624413146
10.000	64.88	71.7527386541	69.5618153365	70.6572769953	66.0406885759	66.1971830986
11.000	64.88	72.4569640063	67.9968701095	70.5007824726	69.4053208138	66.9796557121
12.000	64.88	71.3615023474	66.9014084507	69.7965571205	67.6838810642	68.779342723
13.000	64.88	71.9874804382	68.779342723	69.1705790297	67.7621283255	66.6666666667
14.000	64.88	71.9092331768	67.6838810642	70.813771518	69.1705790297	66.9014084507
15.000	64.88	70.579029734	67.2143974961	69.2488262911	68.1533646322	67.1361502347
16.000	64.88	71.2832550861	65.2582159624	70.579029734	67.3708920188	64.0845070423
17.000	64.88	69.2488262911	65.9624413146	69.4835680751	66.6666666667	67.6838810642
18.000	64.88	66.1189358372	64.710485133	68.4663536776	67.2926447574	66.9796557121
19.000	64.88	64.475743349	50.5130010635	67.6838810642	68.8575899844	66.2754303599
20.000	64.88	62.441314554	44.7876489509	66.744913928	69.8748043818	68.6228482003
21.000	64.88	59.2331768388	34.223907349	68.3881064163	68.544600939	66.9796557121
22.000	64.88	52.7386541471	34.723907349	67.6838810642	69.3270735524	66.3536776213
23.000	64.88	43.2707355243	28.954448349	67.2143974961	68.4663536776	65.3364632238
24.000	64.88	37.2456964006	28.951486698	66.3536776213	67.3708920188	66.9014084507
25.000	64.88	36.1502347418	28.050559749	67.1361502347	66.2754303599	65.5712050078
26.000	64.88	28.951486698	28.050559749	68.3098591549	66.2754303599	64.6322378717
27.000	64.88	28.951486698	28.951486698	65.8059467919	65.0234741784	63.9280125196
28.000	64.88	28.951486698	28.951486698	52.1909233177	62.441314554	63.0672926448
29.000	64.88	28.951486698	28.951486698	58.372456964	60.8763693271	60.9546165884
30.000	64.88	28.951486698	28.951486698	48.3568075117	57.4334898279	60.7981220657
